"","idGame","slugTeam","namePlayer","groupStartPosition","idTeam","idPlayer","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","cityTeam","teamName","isStarter","minExact","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus","pctAST","pctOREB","pctDREB","pctTREB","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","pacePer40PACE_PER40","possessions","ratioPIE","pctFG2MasAssisted","pctFG2MasUnassisted","pctFG3MasAssisted","pctFG3MasUnassisted","pctFGMasAssisted","pctFGMasUnassisted","pctFGAasFG2","pctFGAasFG3","pctPTSasFG2","pctPTSasFG2asMR","pctsPTSasFG3","pctPTSasFB","pctPTSasFT","pctPTSasOffTOV","pctPTSasPaint","ptsOffTOV","ptsSecondChance","ptsFastBreak","ptsPaint","ptsOffTOVOpponent","ptsSecondChanceOpponent","ptsFastBreakOpponent","ptsPaintOpponent","blka","pfd","pctFGMOfTeam","pctFGAOfTeam","pctFG3MOfTeam","pctFG3AOfTeam","pctFTMOfTeam","pctFTAOfTeam","pctOREBOfTeam","pctDREBOfTeam","pctREBOfTeam","pctASTOfTeam","pctTOVOfTeam","pctSTLOfTeam","pctBLKOfTeam","pctBLKAOfTeam","pctPFOfTeam","pctPFDOfTeam","pctPTSOfTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","rateFTA","rateFTAOpponent","fgContested","fg2Contested","fg3Contested","boxOutsPlayerTeamRebound","screenAssist","ptsScreenAssist","deflections","chargesDrawn","looseBallsRecoveredOffense","looseBallsRecoveredDefense","looseBallsRecovered","boxOutsOffense","boxOutsDefense","boxOutsPlayerTREB","boxOuts","passes","fgmContested","fgaContested","pctFGContested","fgmUncontested","fgaUncontested","pctFGUncontested","fgmRimDefended","fgaRimDefended","pctFGRimDefended","distMiles","mphMean","orebChances","drebChances","trebChances","touches","astSecondary","ftAST"
"1",21800001,"PHI","Dario Saric","F",1610612755,203967,3,8,0.375,0,4,0,0,3,4,0.75,"Philadelphia","Dario",TRUE,22.9,0,0,0,6,6,1,0,0,3,5,6,-4,0.071,0,0.214,0.113,25,0.375,0.375,0.193,0.203,84.4,81.5,91.2,92.3,-6.8,-10.8,0.33,8.3,109.8,111.06,92.55,54,0,0.667,0.333,0,0,0.667,0.333,0.5,0.5,1,0,0,0.333,0,0.333,1,2,2,2,6,4,7,0,10,0,1,0.176,0.2,0,0.364,0,0,0,0.3,0.273,0.125,0.375,0,0,0,0.455,0.091,0.136,0.468,0.152,0.2,0.35,0.128,7,3,4,"0",1,2,0,0,0,0,0,2,2,0,4,35,2,3,0.667,1,5,0.2,0,2,0,1.83,4.42,6,11,17,48,0,0
"2",21800001,"PHI","Robert Covington","F",1610612755,203496,3,10,0.3,2,7,0.285714285714286,0,1,3,0.333333333333333,"Philadelphia","Robert",TRUE,34.2166666666667,0,0,1,5,6,0,2,1,2,1,8,-11,0,0.024,0.128,0.075,16.7,0.4,0.4,0.14,0.143,86.2,87,104.2,104,-18,-17,0,0,107.03,106.64,88.86,77,0.049,1,0,1,0,1,0,0.3,0.7,0.25,0,0.75,0,0,0.375,0.25,3,3,0,2,8,6,2,24,0,1,0.107,0.147,0.5,0.333,0,0,0.167,0.167,0.167,0,0.2,0.333,0.333,0,0.077,0.071,0.119,0.515,0.12,0.189,0.191,0.162,9,4,5,"0",0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,3,9,0.333,4,6,0.667,2.54,4.11,2,11,13,46,0,0
"3",21800001,"PHI","Joel Embiid","C",1610612755,203954,9,21,0.429,1,4,0.25,0.8,8,17,0.470588235294118,"Philadelphia","Joel",TRUE,36.8166666666667,4,5,2,8,10,2,1,2,5,3,23,-8,0.105,0.047,0.167,0.11,16.7,0.452,0.496,0.301,0.321,84,81.2,92.7,93.9,-8.7,-12.7,0.4,6.7,107.72,108.86,90.72,85,0.128,0.375,0.625,1,0,0.444,0.556,0.81,0.19,0.696,0,0.13,0.261,0.174,0.087,0.696,2,0,6,16,8,10,6,22,3,3,0.321,0.309,0.2,0.174,0.5,0.357,0.4,0.229,0.25,0.133,0.385,0.2,0.4,0.75,0.2,0.214,0.333,0.462,0.144,0.222,0.206,0.09,20,14,6,"4",3,6,0,0,0,0,0,0,9,1,9,49,5,13,0.385,4,8,0.5,2,8,0.25,2.48,3.74,6,14,20,76,0,0
"4",21800001,"PHI","Markelle Fultz","G",1610612755,1628365,2,7,0.286,0,0,0,0.5,2,7,0.285714285714286,"Philadelphia","Markelle",TRUE,24.3333333333333,1,2,0,3,3,2,1,0,3,1,5,-16,0.133,0,0.091,0.048,23.1,0.286,0.317,0.18,0.187,76.4,76.4,107.5,107.4,-31.1,-31,0.67,15.4,107.43,107.51,89.59,55,0.012,0.5,0.5,0,0,0.5,0.5,1,0,0.8,0,0,0,0.2,0,0.8,0,0,0,4,14,12,4,18,0,2,0.118,0.159,0,0,0.167,0.222,0,0.136,0.115,0.222,0.273,0.5,0,0,0.1,0.25,0.119,0.464,0.074,0.313,0.205,0.161,1,0,1,"1",2,5,0,0,0,0,0,1,2,0,3,25,1,5,0.2,1,2,0.5,0,1,0,1.82,4.18,1,4,5,36,0,1
"5",21800001,"PHI","Ben Simmons","G",1610612755,1627732,7,14,0.5,0,0,0,0.5,7,14,0.5,"Philadelphia","Ben",TRUE,42.7333333333333,5,10,3,12,15,8,4,2,3,5,19,-8,0.32,0.058,0.24,0.147,10.3,0.5,0.516,0.198,0.205,82.2,82.5,90.5,92.6,-8.3,-10.2,2.67,27.6,109.31,107.83,89.86,97,0.188,0.143,0.857,0,0,0.143,0.857,1,0,0.737,0,0,0.421,0.263,0.211,0.737,4,0,8,14,8,7,6,28,1,8,0.219,0.173,0,0,0.455,0.526,0.6,0.3,0.333,0.471,0.231,0.5,0.4,0.2,0.294,0.444,0.238,0.47,0.154,0.149,0.235,0.143,7,2,5,"1",2,5,1,0,0,0,0,0,4,1,4,87,4,6,0.667,3,8,0.375,4,4,1,3.23,4.21,5,16,21,110,0,1
"6",21800001,"PHI","Amir Johnson",NA,1610612755,101161,1,1,1,0,0,0,0.75,1,1,1,"Philadelphia","Amir",TRUE,11.1833333333333,3,4,0,3,3,1,0,0,0,1,5,-10,0.2,0,0.375,0.136,0,1,0.906,0.111,0.116,72.1,72,121.3,116.7,-49.2,-44.7,0,25,103.1,105.16,87.63,25,0.2,1,0,0,0,1,0,1,0,0.4,0,0,0,0.6,0,0.4,0,0,0,2,6,4,0,12,0,2,0.167,0.053,0,0,0.5,0.444,0,0.5,0.429,0.333,0,0,0,0,0.2,0.333,0.278,0.605,0.13,0.25,0.474,0.368,4,4,0,"1",1,2,1,0,0,0,0,1,2,0,3,26,1,1,1,0,0,0,2,3,0.667,0.87,4.32,3,5,8,30,0,0
"7",21800001,"PHI","JJ Redick",NA,1610612755,200755,7,17,0.412,2,8,0.25,0,5,9,0.555555555555556,"Philadelphia","JJ",TRUE,29.7666666666667,0,0,0,2,2,1,0,0,0,1,16,-10,0.063,0,0.057,0.029,0,0.471,0.471,0.224,0.236,82.7,82.9,98,100,-15.3,-17.1,0,5.6,112.52,111.27,92.72,70,0.08,0.8,0.2,1,0,0.857,0.143,0.529,0.471,0.625,0.5,0.375,0,0,0,0.125,0,0,0,2,10,5,6,20,1,2,0.304,0.315,0.5,0.421,0,0,0,0.074,0.069,0.077,0,0,0,0.333,0.063,0.167,0.276,0.492,0.144,0.182,0.259,0.164,3,2,1,"0",0,0,0,0,0,0,0,0,0,0,0,20,1,2,0.5,6,15,0.4,1,2,0.5,2.42,4.49,0,4,4,39,1,0
"8",21800001,"PHI","T.J. McConnell",NA,1610612755,204456,2,5,0.4,0,1,0,0,2,4,0.5,"Philadelphia","T.J.",TRUE,22.4333333333333,0,0,0,1,1,3,0,0,0,3,4,-11,0.3,0,0.038,0.019,0,0.4,0.4,0.093,0.104,77.3,71.4,98.4,95.8,-21.1,-24.4,0,37.5,98.47,103.77,86.48,49,0.034,0,1,0,0,0,1,0.8,0.2,1,0,0,0,0,0,1,0,0,0,4,8,12,6,20,0,0,0.167,0.143,0,0.1,0,0,0,0.059,0.05,0.429,0,0,0,0,0.333,0,0.114,0.478,0.171,0.32,0.343,0.089,2,1,1,"0",0,0,0,0,0,1,1,0,0,0,0,35,2,3,0.667,0,2,0,1,1,1,1.85,4.59,0,1,1,42,0,0
"9",21800001,"PHI","Landry Shamet",NA,1610612755,1629013,0,4,0,0,2,0,0.5,0,2,0,"Philadelphia","Landry",TRUE,12.7166666666667,1,2,0,1,1,0,0,0,0,0,1,-8,0,0,0.091,0.04,0,0,0.102,0.172,0.186,88.6,81.5,126.3,115.4,-37.7,-33.9,0,0,91.73,100.04,83.37,27,-0.086,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,4,7,0,12,0,1,0,0.2,0,0.5,0.143,0.182,0,0.167,0.125,0,0,0,0,0,0,0.125,0.045,0.609,0.168,0.455,0.55,0.174,2,1,1,"0",0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,4,0,0,0,0,1.03,4.48,0,2,2,15,0,0
"10",21800001,"PHI","Jonah Bolden",NA,1610612755,1628413,0,0,0,0,0,0,0,0,0,0,"Philadelphia","Jonah",TRUE,1.45,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,66.7,50,-66.7,-50,0,0,99.31,132.41,110.34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14,5.17,0,0,0,1,0,0
"11",21800001,"PHI","Furkan Korkmaz",NA,1610612755,1627788,0,0,0,0,0,0,0,0,0,0,"Philadelphia","Furkan",TRUE,1.45,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,66.7,50,-66.7,-50,0,0,99.31,132.41,110.34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,4.36,0,0,0,1,0,0
"12",21800001,"BOS","Jayson Tatum","F",1610612738,1628369,9,17,0.529,1,5,0.2,0.8,8,12,0.666666666666667,"Boston","Jayson",TRUE,28.9333333333333,4,5,2,7,9,3,1,0,1,2,23,6,0.25,0.061,0.179,0.125,4.3,0.559,0.599,0.29,0.294,84.3,84.4,71.8,73.8,12.5,10.5,3,13,108.6,107,89.17,64,0.336,0.25,0.75,1,0,0.333,0.667,0.706,0.294,0.696,0.261,0.13,0.174,0.174,0.174,0.435,4,2,4,10,7,5,10,28,0,3,0.429,0.315,0.167,0.25,0.667,0.714,0.5,0.269,0.3,0.3,0.091,0.25,0,0,0.167,0.231,0.426,0.36,0.15,0.161,0.13,0.193,5,0,5,"1",2,5,0,0,0,0,0,0,1,0,1,38,2,5,0.4,7,12,0.583,0,0,0,2.23,4.25,2,12,14,59,1,0
"13",21800001,"BOS","Gordon Hayward","F",1610612738,202330,4,12,0.333,1,3,0.333333333333333,0.5,3,9,0.333333333333333,"Boston","Gordon",TRUE,24.6166666666667,1,2,2,3,5,0,4,0,0,1,10,10,0,0.065,0.097,0.081,0,0.375,0.388,0.206,0.209,96.2,96.3,76.6,77.8,19.6,18.5,0,0,106.19,105.29,87.75,54,0.123,0,1,1,0,0.25,0.75,0.75,0.25,0.6,0.6,0.3,0,0.1,0.2,0,2,3,0,0,3,2,6,24,1,5,0.19,0.235,0.2,0.176,0.2,0.286,0.25,0.143,0.172,0,0,0.667,0,0.5,0.111,0.385,0.192,0.389,0.182,0.192,0.137,0.244,5,3,2,"1",0,0,0,0,0,0,0,0,3,0,3,21,1,4,0.25,3,8,0.375,0,3,0,1.82,4.08,5,8,12,38,1,0
"14",21800001,"BOS","Al Horford","C",1610612738,201143,4,7,0.571,0,1,0,1,4,6,0.666666666666667,"Boston","Al",TRUE,29.95,1,1,0,4,4,2,0,4,3,1,9,9,0.095,0,0.103,0.056,25,0.571,0.605,0.137,0.136,96.7,98.5,83.2,85.3,13.5,13.2,0.67,16.7,111.39,108.98,90.82,68,0.093,1,0,0,0,1,0,0.857,0.143,0.889,0.222,0,0,0.111,0,0.667,0,0,0,6,6,5,10,32,0,2,0.16,0.121,0,0.042,0.111,0.083,0,0.138,0.121,0.118,0.3,0,1,0,0.091,0.143,0.134,0.417,0.115,0.121,0.207,0.217,19,15,4,"3",2,4,0,0,0,0,0,0,5,0,5,39,3,3,1,1,4,0.25,7,12,0.583,2.15,4,0,12,12,52,0,1
"15",21800001,"BOS","Jaylen Brown","G",1610612738,1627759,5,13,0.385,1,3,0.333333333333333,0.5,4,10,0.4,"Boston","Jaylen",TRUE,28.3833333333333,1,2,3,2,5,2,0,0,2,4,12,11,0.091,0.094,0.063,0.078,11.1,0.423,0.432,0.229,0.227,107,109.4,89.6,92.2,17.4,17.2,1,11.1,110.97,108.23,90.19,64,0.021,0.5,0.5,1,0,0.6,0.4,0.769,0.231,0.667,0.167,0.25,0,0.083,0.167,0.5,2,2,0,6,7,5,10,34,2,1,0.185,0.22,0.125,0.12,0.125,0.2,0.6,0.083,0.172,0.105,0.286,0,0,0.667,0.364,0.077,0.171,0.473,0.137,0.111,0.169,0.2,3,0,3,"0",0,0,0,0,0,0,0,0,0,0,0,13,2,6,0.333,3,7,0.429,0,0,0,2.28,4.51,5,6,11,29,1,0
"16",21800001,"BOS","Kyrie Irving","G",1610612738,202681,2,14,0.143,1,8,0.125,1,1,6,0.166666666666667,"Boston","Kyrie",TRUE,29,2,2,0,4,4,7,0,0,3,1,7,9,0.292,0,0.118,0.059,12,0.179,0.235,0.247,0.245,99.4,103,87.3,89.4,12.1,13.6,2.33,28,112.55,109.24,91.03,66,0.018,1,0,1,0,1,0,0.429,0.571,0.286,0,0.429,0,0.286,0,0.286,0,0,0,2,8,5,10,34,1,2,0.077,0.233,0.125,0.308,0.25,0.2,0,0.154,0.129,0.389,0.333,0,0,0.25,0.077,0.143,0.103,0.445,0.133,0.103,0.167,0.273,1,0,1,"0",0,0,0,0,0,0,0,1,0,0,1,63,0,2,0,2,12,0.167,1,1,1,2.25,4.34,1,7,8,81,1,0
"17",21800001,"BOS","Marcus Morris Sr.",NA,1610612738,202694,7,12,0.583,2,7,0.285714285714286,0,5,5,1,"Boston","Marcus",TRUE,20.5,0,0,2,8,10,0,2,0,1,5,16,3,0,0.074,0.533,0.238,7.7,0.667,0.667,0.241,0.24,106.3,108.9,104.2,100,2.2,8.9,0,0,105.65,106.54,88.78,45,0.193,0,1,1,0,0.286,0.714,0.417,0.583,0.625,0.375,0.375,0,0,0.25,0.25,4,4,0,4,7,0,10,28,0,1,0.35,0.261,0.4,0.368,0,0,0.25,0.571,0.455,0,0.2,0.667,0,0,0.5,0.143,0.327,0.613,0.181,0.067,0.152,0.452,2,2,0,"2",0,0,0,0,0,0,0,1,1,2,3,38,1,1,1,6,11,0.545,5,5,1,1.6,4.38,5,9,11,52,0,0
"18",21800001,"BOS","Terry Rozier",NA,1610612738,1626179,5,10,0.5,1,2,0.5,0,4,8,0.5,"Boston","Terry",TRUE,26.5166666666667,0,0,0,8,8,1,0,1,1,0,11,22,0.048,0,0.258,0.133,8.3,0.55,0.55,0.167,0.174,110.7,107,70.7,69.6,40,37.4,1,8.3,99.78,102.28,85.23,57,0.212,0.25,0.75,0,1,0.2,0.8,0.8,0.2,0.727,0.545,0.273,0.182,0,0.182,0.182,2,0,2,2,3,0,8,20,0,1,0.192,0.185,0.2,0.105,0,0,0,0.333,0.25,0.143,0.167,0,0.333,0,0,0.111,0.18,0.364,0.145,0.111,0.13,0.318,2,2,0,"1",0,0,0,0,0,0,0,0,1,1,1,38,0,3,0,5,7,0.714,1,2,0.5,2.15,4.44,1,10,11,51,1,0
"19",21800001,"BOS","Marcus Smart",NA,1610612738,203935,2,4,0.5,2,4,0.5,0.5,0,0,0,"Boston","Marcus",TRUE,25,1,2,0,3,3,3,0,0,2,2,7,3,0.176,0,0.103,0.048,20,0.75,0.717,0.109,0.11,85.8,86.8,80.2,78.2,5.5,8.6,1.5,30,102.94,103.67,86.39,53,0.094,0,0,1,0,1,0,0,1,0,0,0.857,0,0.143,0,0,0,3,0,0,6,0,8,24,0,1,0.105,0.078,0.4,0.222,0.333,0.333,0,0.13,0.091,0.429,0.2,0,0,0,0.182,0.125,0.152,0.415,0.168,0.115,0.118,0.366,3,2,1,"2",0,0,0,0,0,0,0,0,3,0,3,30,0,0,0,2,4,0.5,2,2,1,1.81,4.03,0,7,7,36,0,0
"20",21800001,"BOS","Aron Baynes",NA,1610612738,203382,3,7,0.429,2,4,0.5,0,1,3,0.333333333333333,"Boston","Aron",TRUE,19.2333333333333,0,0,3,1,4,3,0,0,1,3,8,8,0.214,0.136,0.05,0.095,9.1,0.571,0.571,0.163,0.175,105.6,100,82.8,81,22.9,19,3,27.3,100.87,104.82,87.35,42,0.101,1,0,1,0,1,0,0.429,0.571,0.25,0,0.75,0,0,0,0.25,0,0,0,2,8,3,8,22,1,4,0.176,0.184,0.4,0.235,0,0,0.5,0.077,0.211,0.375,0.167,0,0,0.5,0.375,0.444,0.19,0.455,0.195,0.188,0.105,0.212,8,8,0,"6",3,6,0,1,0,0,0,5,5,2,10,22,0,2,0,3,5,0.6,2,3,0.667,1.37,3.96,4,3,7,29,0,1
"21",21800001,"BOS","Daniel Theis",NA,1610612738,1628464,0,0,0,0,0,0,0,0,0,0,"Boston","Daniel",TRUE,4.13333333333333,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0.2,0.111,0,0,0,0,0,125,111.1,79.9,70,45.1,41.1,0,0,97.32,110.32,91.94,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.2,0.143,0,0,0,0,0,0.333,0,0,0.333,0.114,0,0,0.667,1,1,0,"2",1,2,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,0,1,1,1,0.32,4.23,2,3,4,3,0,0
"22",21800001,"BOS","Semi Ojeleye",NA,1610612738,1628400,0,0,0,0,0,0,0,0,0,0,"Boston","Semi",TRUE,1.45,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0.25,0.2,0,0,0,0,0,66.7,50,0,0,66.7,50,0,0,99.31,132.41,110.34,4,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.13,4.75,0,1,1,2,0,0
"23",21800001,"BOS","Guerschon Yabusele",NA,1610612738,1627824,0,0,0,0,0,0,0,0,0,0,"Boston","Guerschon",TRUE,1.45,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,66.7,50,0,0,66.7,50,0,0,99.31,132.41,110.34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.13,4.76,0,0,0,1,0,0
"24",21800001,"BOS","Brad Wanamaker",NA,1610612738,202954,1,1,1,0,0,0,0,1,1,1,"Boston","Brad",TRUE,0.833333333333333,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0.5,0.5,0,1,1,0.5,1,200,100,0,0,200,100,0,0,86.57,115.43,96.19,2,1.5,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0.06,3.83,0,1,1,3,0,0
"25",21800002,"OKC","Paul George","F",1610612760,202331,9,23,0.391,4,12,0.333333333333333,0.625,5,11,0.454545454545455,"Oklahoma City","Paul",TRUE,37.4,5,8,0,2,2,5,4,0,5,3,27,-16,0.333,0,0.048,0.021,13.5,0.478,0.509,0.327,0.341,90.4,91.4,107.5,109.8,-17.1,-18.4,1,13.5,106.27,104.6,87.17,81,0.098,0.2,0.8,1,0,0.556,0.444,0.478,0.522,0.37,0.148,0.444,0,0.185,0.037,0.222,1,4,0,6,16,18,10,52,0,6,0.375,0.333,0.5,0.414,0.278,0.296,0,0.087,0.057,0.333,0.385,0.444,0,0,0.2,0.273,0.365,0.5,0.179,0.395,0.391,0.167,12,7,5,"2",0,0,0,0,0,0,0,1,4,1,5,40,3,7,0.429,6,16,0.375,4,4,1,2.68,4.02,1,8,9,76,0,1
